IDs,Repo,Pull Request,Organization,Primary Language,Root Cause,Manifestation,Category,Sub-Category,RAdd,REdit,RRemove,RAPI,w/o Tests,mergetime_minutes,num_commits,code_churn,files_changed,Pattern
1213,https://github.com/mozilla/treeherder,https://github.com/mozilla/treeherder/pull/913,mozilla,Python,Regex,incorrect behavior,accepting invalid strings (T2),,,1,,1,NO,653.9666666,2,38,5,NA
1228,https://github.com/mozilla/butter,https://github.com/mozilla/butter/pull/761,mozilla,JavaScript,API,bad smells,code smells,exception handling,,,,2,NO,1031.733333,1,13,1,8
1232,https://github.com/mozilla/addons-server,https://github.com/mozilla/addons-server/pull/10352,mozilla,Python,API,bad smells,code smells,exception handling,,,,1,NO,804.4333334,2,5,1,NA
1236,https://github.com/mozilla/morgothv1,https://github.com/mozilla/morgothv1/pull/14,mozilla,JavaScript,Regex,incorrect behavior,accepting invalid strings (T2),,1,1,,,YES,83993.75001,4,25,4,"5, 6"
1239,https://github.com/mozilla/fxa-password-strength-checker,https://github.com/mozilla/fxa-password-strength-checker/pull/29,mozilla,JavaScript,Regex,bad smells,design smells,other,2,,1,,YES,6719.366667,2,34,2,NA
1245,https://github.com/mozilla/feedthefox,https://github.com/mozilla/feedthefox/pull/43,mozilla,Python,Regex,bad smells,code smells,unused/duplicated regex,,,1,,NO,1263.616667,1,7,1,NA
1249,https://github.com/mozilla/addons-frontend,https://github.com/mozilla/addons-frontend/pull/7363,mozilla,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,YES,49.91666666,1,25,2,NA
1253,https://github.com/mozilla/kuma,https://github.com/mozilla/kuma/pull/4377,mozilla,Python,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,YES,2800.416666,1,22,2,5
1255,https://github.com/mozilla/amo-validator,https://github.com/mozilla/amo-validator/pull/320,mozilla,Python,Regex,incorrect behavior,accepting invalid strings (T2),,,1,,,NA,11.83333333,1,4,1,NA
1264,https://github.com/mozilla/kuma,https://github.com/mozilla/kuma/pull/295,mozilla,Python,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,YES,2673.566667,1,51,2,NA
1275,https://github.com/mozilla/treeherder,https://github.com/mozilla/treeherder/pull/3727,mozilla,Python,Other,other failures,,,1,,,,NO,5566.05,1,11,1,NA
1281,https://github.com/mozilla/treeherder,https://github.com/mozilla/treeherder/pull/3347,mozilla,Python,Regex,bad smells,code smells,regex representation,1,1,,,YES,7065.766666,11,149,15,7
1286,https://github.com/mozilla/normandy,https://github.com/mozilla/normandy/pull/869,mozilla,Python,Other,new feature,data processing,,,1,,,YES,8667.616667,2,58,5,NA
1290,https://github.com/mozilla/pontoon,https://github.com/mozilla/pontoon/pull/908,mozilla,Python,Regex,incorrect behavior,accepting invalid strings (T2),,,,1,,NO,798.4833333,3,22,1,4
1299,https://github.com/mozilla/zamboni,https://github.com/mozilla/zamboni/pull/3095,mozilla,Python,Regex,incorrect behavior,rejecting valid strings (T1),,,2,,,YES,940.1833333,1,10,2,NA
1303,https://github.com/mozilla/kuma,https://github.com/mozilla/kuma/pull/4231,mozilla,Python,Other,bad smells,,,,14,,,YES,122264.0833,3,801,4,NA
1308,https://github.com/google/grr,https://github.com/google/grr/pull/138,google,Python,API,bad smells,code smells,unnecessary computation,,1,,,NO,7852.8,1,2,1,NA
1313,https://github.com/google/tie,https://github.com/google/tie/pull/649,google,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,YES,130.2666667,6,20,2,NA
1316,https://github.com/google/ggrc-core,https://github.com/google/ggrc-core/pull/931,google,Python,Regex,incorrect behavior,accepting invalid strings (T2),,,2,,,NO,1452.683333,2,4,2,NA
1317,https://github.com/google/truth,https://github.com/google/truth/pull/81,google,Java,Other,new feature,regex-like implementation,,4,,,,YES,3975.666667,1,208,3,NA
1321,https://github.com/google/ggrc-core,https://github.com/google/ggrc-core/pull/6966,google,Python,Regex,incorrect behavior,accepting invalid strings (T2),,,1,1,1,NO,8443.366667,2,18,2,5
1324,https://github.com/google/caja,https://github.com/google/caja/pull/2026,google,Java,Regex,incorrect behavior,accepting invalid strings (T2),,,1,,,NO,38.3,1,2,1,NA
1328,https://github.com/google/blockly,https://github.com/google/blockly/pull/771,google,JavaScript,Other,new feature,data processing,,2,,,,NO,297.8666667,3,401,8,NA
1329,https://github.com/google/ctfscoreboard,https://github.com/google/ctfscoreboard/pull/161,google,Python,Other,new feature,regex-like implementation,,,,,1,YES,2.799999999,1,35,3,NA
1331,https://github.com/google/ggrc-core,https://github.com/google/ggrc-core/pull/6771,google,Python,Regex,incorrect behavior,accepting invalid strings (T2),,,,1,,NO,5378.65,1,3,1,3
1338,https://github.com/google/error-prone,https://github.com/google/error-prone/pull/1159,google,Java,Other,new feature,data processing,,3,,,,NO,5745.766667,69,9940,235,NA
1343,https://github.com/google/ggrc-core,https://github.com/google/ggrc-core/pull/8278,google,Python,Regex,incorrect behavior,rejecting valid strings (T1),,,,1,,NO,1081.35,2,180,2,3
1346,https://github.com/google/grr,https://github.com/google/grr/pull/18,google,Python,Regex,compile errors,,,,2,,,NO,5122.65,1,4,1,NA
1349,https://github.com/google/ggrc-core,https://github.com/google/ggrc-core/pull/8199,google,Python,Regex,bad smells,code smells,regex representation,,6,,,NA,8564.55,1,12,6,1
1359,https://github.com/google/bamboo-soy,https://github.com/google/bamboo-soy/pull/158,google,Java,Regex,incorrect behavior,incorrect extraction,,,2,,,NO,71.56666666,1,4,2,NA
1365,https://github.com/google/ExoPlayer,https://github.com/google/ExoPlayer/pull/3185,google,Java,API,bad smells,code smells,exception handling,,,,2,NO,630.6,1,4,1,8
1382,https://github.com/google/tie,https://github.com/google/tie/pull/378,google,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,NO,30644.75,2,2,1,NA
1385,https://github.com/google/ExoPlayer,https://github.com/google/ExoPlayer/pull/307,google,Java,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,NO,641.1333334,1,2,1,NA
1390,https://github.com/google/ggrc-core,https://github.com/google/ggrc-core/pull/47,google,Python,Other,new feature,data processing,,4,,,,NO,484.6333333,7,1033,26,NA
1392,https://github.com/google/tie,https://github.com/google/tie/pull/387,google,JavaScript,Regex,incorrect behavior,accepting invalid strings (T2),,,1,,,NO,1056.733333,2,2,1,NA
1394,https://github.com/google/nsscache,https://github.com/google/nsscache/pull/80,google,Python,Other,new feature,regex configuration entry,,2,,,,NO,16627.58333,6,25,4,NA
1398,https://github.com/google/ggrc-core,https://github.com/google/ggrc-core/pull/1337,google,Python,Regex,incorrect behavior,T1 & T2,,,,9,,NO,96,1,14,3,4
1401,https://github.com/google/ExoPlayer,https://github.com/google/ExoPlayer/pull/2547,google,Java,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,YES,4863.833333,1,4,2,NA
1408,https://github.com/google/blockly,https://github.com/google/blockly/pull/1050,google,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,NO,1191.8,1,2,1,NA
1409,https://github.com/google/blockly,https://github.com/google/blockly/pull/1433,google,JavaScript,Regex,bad smells,code smells,regex representation,,1,,,NO,208.8333333,1,2,1,NA
1416,https://github.com/google/ggrc-core,https://github.com/google/ggrc-core/pull/587,google,Python,Regex,incorrect behavior,accepting invalid strings (T2),,,2,,,NO,1437.2,3,22,5,NA
1418,https://github.com/google/citest,https://github.com/google/citest/pull/275,google,Python,Other,new feature,regex-like implementation,,1,,,,YES,118.2833333,1,24,3,NA
1427,https://github.com/google/ctfscoreboard,https://github.com/google/ctfscoreboard/pull/160,google,Python,Other,new feature,regex-like implementation,,1,,,,YES,36.61666667,4,60,3,NA
1431,https://github.com/google/grr,https://github.com/google/grr/pull/131,google,Python,Regex,bad smells,code smells,performance issues,,1,,,NO,8970.35,1,2,1,NA
1433,https://github.com/google/openhtf,https://github.com/google/openhtf/pull/347,google,Python,Regex,bad smells,design smells,other,,6,,,NA,22576.88333,1,12,1,2
1436,https://github.com/google/graphicsfuzz,https://github.com/google/graphicsfuzz/pull/167,google,Java,Regex,bad smells,design smells,unnecessary regex,,,1,,NO,123.8666667,1,72,6,3
1437,https://github.com/google/python-fire,https://github.com/google/python-fire/pull/141,google,Python,Other,new feature,data processing,,1,,,,YES,27434.85,10,75,3,NA
1446,https://github.com/google/openhtf,https://github.com/google/openhtf/pull/594,google,Python,Regex,incorrect behavior,accepting invalid strings (T2),,,1,,,YES,5.833333333,1,3,2,NA
1448,https://github.com/google/grr,https://github.com/google/grr/pull/169,google,Python,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,NO,5264.3,1,2,1,NA
1458,https://github.com/google/crmint,https://github.com/google/crmint/pull/61,google,Python,Regex,incorrect behavior,T1 & T2,,,2,,,NO,41636.51667,2,13,4,NA
1465,https://github.com/google/ggrc-core,https://github.com/google/ggrc-core/pull/537,google,Python,Regex,incorrect behavior,rejecting valid strings (T1),,,,,1,NO,4212.45,1,2,1,NA
1468,https://github.com/google/blockly,https://github.com/google/blockly/pull/700,google,JavaScript,API,incorrect computation,,,,,,1,NO,76766.76667,3,23,3,NA
1478,https://github.com/facebook/fbjs,https://github.com/facebook/fbjs/pull/12,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,NO,36.48333334,1,2,1,NA
1483,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/1452,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,YES,31.43333333,1,82,6,NA
1489,https://github.com/facebook/create-react-app,https://github.com/facebook/create-react-app/pull/3362,facebook,JavaScript,Other,bad smells,,,,1,,,YES,5934.933333,8,100,7,NA
1493,https://github.com/facebook/react,https://github.com/facebook/react/pull/344,facebook,JavaScript,Other,other failures,,,1,,,,NO,18.61666667,1,5,1,NA
1497,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/1574,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,NO,508.9333333,1,2,1,2
1498,https://github.com/facebook/create-react-app,https://github.com/facebook/create-react-app/pull/5431,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,NO,8.866666666,2,4,1,NA
1510,https://github.com/facebook/Docusaurus,https://github.com/facebook/Docusaurus/pull/854,facebook,JavaScript,API,bad smells,code smells,unnecessary computation,2,2,,6,YES,1121.333333,11,584,13,10
1514,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/5941,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,YES,2205.65,1,11,4,1
1515,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/2741,facebook,JavaScript,Regex,incorrect behavior,accepting invalid strings (T2),,,1,,,NO,545.5833333,1,7,1,NA
1518,https://github.com/facebook/create-react-app,https://github.com/facebook/create-react-app/pull/3686,facebook,JavaScript,Regex,compile errors,,,,1,,,NO,255.45,4,7,1,NA
1519,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/1723,facebook,JavaScript,API,incorrect computation,,,1,,,1,YES,459.3166667,3,17,2,8
1523,https://github.com/facebook/chisel,https://github.com/facebook/chisel/pull/58,facebook,Python,Other,other failures,,,,1,,4,NO,18619.61666,4,28,1,NA
1526,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/4464,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,2,,,YES,160.9,1,28,2,2
1527,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/5230,facebook,JavaScript,Regex,incorrect behavior,T1 & T2,,,,1,,YES,317.4666667,1,144,4,3
1529,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/5464,facebook,JavaScript,Regex,incorrect behavior,accepting invalid strings (T2),,,1,,,YES,25.95,1,21,2,NA
1534,https://github.com/facebook/planout,https://github.com/facebook/planout/pull/81,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,2,,,NO,46.1,2,4,2,NA
1537,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/2482,facebook,JavaScript,Other,other failures,,,8,,3,,YES,39945.03333,2,758,22,NA
1540,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/3001,facebook,JavaScript,API,incorrect computation,,,,,,1,NO,7.566666667,1,4,1,NA
1542,https://github.com/facebook/react,https://github.com/facebook/react/pull/6804,facebook,JavaScript,Other,other failures,,,1,,,,YES,2230.816667,2,42,3,NA
1543,https://github.com/facebook/Docusaurus,https://github.com/facebook/Docusaurus/pull/1154,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,NO,534.3666667,1,2,1,NA
1547,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/6579,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,YES,5516.533333,3,43,4,NA
1549,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/2264,facebook,JavaScript,Other,other failures,,,1,,,,NO,3976.766667,1,7,1,NA
1551,https://github.com/facebook/prepack,https://github.com/facebook/prepack/pull/645,facebook,JavaScript,API,bad smells,design smells,alternative regex API,,,,1,YES,179.8666667,1,33,2,NA
1563,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/2540,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,NO,126.1666667,1,6,1,1
1566,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/4578,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,,,1,YES,12.05,1,27,4,NA
1567,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/1733,facebook,JavaScript,Other,new feature,regex configuration entry,,1,,,,YES,3049.566667,3,58,7,NA
1571,https://github.com/facebook/create-react-app,https://github.com/facebook/create-react-app/pull/2326,facebook,JavaScript,Regex,bad smells,code smells,unused/duplicated regex,,,1,,NO,61.08333333,1,24,3,4
1578,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/22,facebook,JavaScript,Regex,incorrect behavior,accepting invalid strings (T2),,,1,,,NO,95.03333333,1,2,1,NA
1587,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/4576,facebook,JavaScript,Regex,incorrect behavior,incorrect extraction,,2,1,2,1,YES,216.1666666,1,23,2,NA
1593,https://github.com/facebook/FAI-PEP,https://github.com/facebook/FAI-PEP/pull/4,facebook,Python,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,NO,2768.35,5,4,1,2
1595,https://github.com/facebook/chisel,https://github.com/facebook/chisel/pull/32,facebook,Python,API,bad smells,code smells,exception handling,,,,1,NO,3547.2,1,17,1,NA
1598,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/1463,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,1,1,,,NO,12055.08333,1,25,4,NA
1598,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/1463,facebook,JavaScript,Regex,incorrect behavior,T1 & T2,,,1,,,NO,12055.08333,1,25,4,NA
1599,https://github.com/facebook/create-react-app,https://github.com/facebook/create-react-app/pull/5058,facebook,JavaScript,Other,new feature,regex configuration entry,,1,,,,NO,114.3333333,1,99,4,NA
1603,https://github.com/facebook/Docusaurus,https://github.com/facebook/Docusaurus/pull/412,facebook,JavaScript,Regex,incorrect behavior,incorrect extraction,,,1,,,NO,793.4666666,1,3,1,NA
1605,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/1379,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,YES,6089.116667,4,39,4,NA
1606,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/7029,facebook,JavaScript,Regex,incorrect behavior,T1 & T2,,,1,,,YES,132.0666667,1,6,2,NA
1608,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/4558,facebook,JavaScript,Other,other failures,,,,1,,1,YES,24.61666667,1,56,3,NA
1610,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/5269,facebook,JavaScript,Regex,incorrect behavior,T1 & T2,,2,1,,,YES,802.5166666,1,260,5,NA
1614,https://github.com/facebook/react,https://github.com/facebook/react/pull/7497,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,NO,6013.916667,1,88,22,2
1623,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/4686,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,NA,197.7666667,1,2,1,NA
1624,https://github.com/facebook/prepack,https://github.com/facebook/prepack/pull/582,facebook,JavaScript,API,bad smells,design smells,alternative regex API,,,,1,YES,35.85,1,29,2,NA
1625,https://github.com/facebook/Docusaurus,https://github.com/facebook/Docusaurus/pull/799,facebook,JavaScript,Regex,incorrect behavior,accepting invalid strings (T2),,1,3,,,YES,7055.283334,11,264,3,NA
1630,https://github.com/facebook/chisel,https://github.com/facebook/chisel/pull/99,facebook,Python,Regex,incorrect behavior,incorrect extraction,,,1,,,NO,150610.7834,1,2,1,NA
1632,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/2852,facebook,JavaScript,Other,other failures,,,1,1,,,YES,885.1166667,3,24,3,NA
1634,https://github.com/facebook/PathPicker,https://github.com/facebook/PathPicker/pull/283,facebook,Python,Regex,incorrect behavior,incorrect extraction,,1,,,,YES,2093.816667,1,30,5,6
1635,https://github.com/facebook/PathPicker,https://github.com/facebook/PathPicker/pull/132,facebook,Python,Regex,incorrect behavior,rejecting valid strings (T1),,,2,,,YES,0.9666666667,1,21,3,2
1637,https://github.com/facebook/Docusaurus,https://github.com/facebook/Docusaurus/pull/795,facebook,JavaScript,Regex,incorrect behavior,accepting invalid strings (T2),,,2,,,YES,926.0000001,5,89,3,NA
1638,https://github.com/facebook/react,https://github.com/facebook/react/pull/5614,facebook,JavaScript,Regex,compile errors,,,,1,,1,NO,394.0333334,1,4,1,NA
1639,https://github.com/facebook/draft-js,https://github.com/facebook/draft-js/pull/514,facebook,JavaScript,Regex,incorrect behavior,unknown,,,1,,,NO,1381.75,1,2,1,NA
1640,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/2211,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,YES,14260.55,1,85,8,NA
1641,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/1189,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,2,,,NO,2745.066666,1,4,2,NA
1646,https://github.com/facebook/react-devtools,https://github.com/facebook/react-devtools/pull/641,facebook,JavaScript,API,bad smells,code smells,exception handling,,,,2,NO,875.95,20,642,13,NA
1646,https://github.com/facebook/react-devtools,https://github.com/facebook/react-devtools/pull/641,facebook,JavaScript,Other,new feature,regex configuration entry,,1,,,,NO,875.95,20,642,13,NA
1648,https://github.com/facebook/create-react-app,https://github.com/facebook/create-react-app/pull/1149,facebook,JavaScript,Regex,incorrect behavior,accepting invalid strings (T2),,,1,,,NO,12.96666667,1,2,1,NA
1655,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/4680,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,NO,265.5666667,1,2,1,NA
1658,https://github.com/facebook/react-devtools,https://github.com/facebook/react-devtools/pull/254,facebook,JavaScript,Regex,incorrect behavior,accepting invalid strings (T2),,,6,,,NO,8.366666666,1,37,6,NA
1660,https://github.com/facebook/Docusaurus,https://github.com/facebook/Docusaurus/pull/739,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,2,,,NO,2.216666667,1,4,1,NA
1663,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/6442,facebook,JavaScript,Other,new feature,data processing,,1,,,,YES,12604.46667,8,1123,31,NA
1667,https://github.com/facebook/create-react-app,https://github.com/facebook/create-react-app/pull/2285,facebook,JavaScript,Other,new feature,data processing,,6,,,,YES,348770.9834,5,205,10,NA
1672,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/1969,facebook,JavaScript,Regex,compile errors,,,,2,,1,NO,3892.083333,1,9,1,NA
1673,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/5224,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,1,,,,YES,3624.633333,3,39,6,NA
1674,https://github.com/facebook/PathPicker,https://github.com/facebook/PathPicker/pull/54,facebook,Python,Regex,incorrect behavior,rejecting valid strings (T1),,,2,,,YES,364.95,2,14,2,2
1675,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/6650,facebook,JavaScript,Other,other failures,,,1,,,,YES,282520.1834,38,175,21,NA
1676,https://github.com/facebook/react,https://github.com/facebook/react/pull/4447,facebook,JavaScript,API,bad smells,code smells,unnecessary computation,,,,1,NO,6.783333333,1,4,1,9
1677,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/7385,facebook,JavaScript,Regex,incorrect behavior,T1 & T2,,4,,5,,YES,121.6333333,6,524,6,NA
1685,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/2621,facebook,JavaScript,Other,new feature,regex-like implementation,,,,,1,YES,2184.733333,4,317,7,NA
1694,https://github.com/facebook/react,https://github.com/facebook/react/pull/4787,facebook,JavaScript,Regex,bad smells,code smells,regex representation,,1,,,NO,1140.783333,1,2,1,NA